name,Squad,position,TIS
Martin Valjent,Mallorca,Centre-Back,27.849991903755345
Mamadou Sarr,Strasbourg,Centre-Back,27.813852614092564
Emmanuel Biumla,Angers,Centre-Back,27.769088102927252
Christopher Wooh,Rennes,Centre-Back,27.715380947140606
Federico Baschirotto,Lecce,Centre-Back,27.604816171482838
Joseph Aidoo,Valladolid,Centre-Back,27.44535519125683
Joël Schingtienne,Venezia,Centre-Back,27.381286901834848
Willy Kambwala,Villarreal,Centre-Back,27.372425388818833
Fabian Schär,Newcastle Utd,Centre-Back,27.369195781476485
Andrea Carboni,Monza,Centre-Back,27.3575789290075
Bamo Meïté,Montpellier,Centre-Back,27.08677970774745
Emmanuel Agbadou,Wolves,Centre-Back,27.00351935646053
Wesley Fofana,Chelsea,Centre-Back,26.84822966055717
Santiago Bueno,Wolves,Centre-Back,26.774320560837413
Ko Itakura,Gladbach,Centre-Back,26.753590156488713
Lautaro Valenti,Parma,Centre-Back,26.65370829886959
Cristhian Mosquera,Valencia,Centre-Back,26.63617781007219
Arthur Chaves,Hoffenheim,Centre-Back,26.489092996555684
Caleb Okoli,Leicester City,Centre-Back,26.456425595009843
Alessandro Circati,Parma,Centre-Back,26.39173789173789
Ismaël Doukouré,Strasbourg,Centre-Back,26.382309339482788
Fikayo Tomori,Milan,Centre-Back,26.362622257467617
Jhon Lucumí,Bologna,Centre-Back,26.304353561405186
Saba Goglichidze,Empoli,Centre-Back,26.230152754109476
Youssouf Ndayishimiye,Nice,Centre-Back,26.18953237056685
Eray Cömert,Valladolid,Centre-Back,25.955590059879384
Marc Oliver Kempf,Como,Centre-Back,25.952035112035112
Omar Alderete,Getafe,Centre-Back,25.87678862959762
Ardian Ismajli,Empoli,Centre-Back,25.84995830727538
Robin Le Normand,Atlético Madrid,Centre-Back,25.78350483375975
Sven Botman,Newcastle Utd,Centre-Back,25.740613553113555
Cédric Hountondji,Angers,Centre-Back,25.736625514403293
David Torres,Valladolid,Centre-Back,25.655674831465113
Nikola Maksimović,Montpellier,Centre-Back,25.52332406549274
Abdoulaye Bamba,Angers,Centre-Back,25.522231033571238
Jaka Bijol,Udinese,Centre-Back,25.493732193732196
Abakar Sylla,Strasbourg,Centre-Back,25.3965811965812
Matija Nastasić,Leganés,Centre-Back,25.27734423386597
Luke Woolfenden,Ipswich Town,Centre-Back,25.274771877825312
Yerry Mina,Cagliari,Centre-Back,25.255739902798727
Ivan Ordets,Bochum,Centre-Back,25.199511783535897
José María Giménez,Atlético Madrid,Centre-Back,25.13107963363718
Michael Keane,Everton,Centre-Back,25.101323577338338
Saba Sazonov,Torino,Centre-Back,25.0
Rafa Marín,Napoli,Centre-Back,25.0
Kaelan Casey,West Ham,Centre-Back,25.0
Yllan Okou,Hellas Verona,Centre-Back,25.0
Anthony Briançon,Saint-Étienne,Centre-Back,25.0
Facundo Garcés,Alavés,Centre-Back,25.0
Warmed Omari,Rennes,Centre-Back,25.0
Jesús Vallejo,Real Madrid,Centre-Back,25.0
Domingos Duarte,Getafe,Centre-Back,24.954513700225103
Pietro Comuzzo,Fiorentina,Centre-Back,24.923005061733388
Jan Bednarek,Southampton,Centre-Back,24.781657876870927
Nicolás Valentini,Hellas Verona,Centre-Back,24.71181665364491
Daniele Ghilardi,Hellas Verona,Centre-Back,24.577721960579105
Jorge Sáenz,Leganés,Centre-Back,24.329003427480586
Harry Maguire,Manchester Utd,Centre-Back,24.10710824112886
Dylan Batubinsika,Saint-Étienne,Centre-Back,24.097120553260908
Tuta,Eint Frankfurt,Centre-Back,23.836835051600154
Tanguy Nianzou,Sevilla,Centre-Back,23.4009174009174
Carl Starfelt,Celta Vigo,Centre-Back,23.3360532272919
Igor Zubeldia,Real Sociedad,Centre-Back,23.24517518814097
Javi Sánchez,Valladolid,Centre-Back,23.09779343956559
