,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
341,583189,Anthony Elanga,Right Winger,2002-04-27,22,"['Sweden', 'Cameroon']",178.0,right,2023-07-25,Manchester United,2028-06-30,25000000.0,
342,295313,Taiwo Awoniyi,Centre-Forward,1997-08-12,27,['Nigeria'],183.0,right,2022-07-01,1.FC Union Berlin,2027-06-30,22000000.0,
343,108725,Chris Wood,Centre-Forward,1991-12-07,33,['New Zealand'],191.0,right,2023-07-01,Newcastle United,2027-06-30,7000000.0,
344,249994,José Sá,Goalkeeper,1993-01-17,32,['Portugal'],192.0,right,2021-07-15,: Ablöse €8.00m,2027-06-30,8000000.0,
345,110864,Sam Johnstone,Goalkeeper,1993-03-25,31,['England'],193.0,right,2024-08-30,Crystal Palace,2028-06-30,8000000.0,
346,136401,Daniel Bentley,Goalkeeper,1993-07-13,31,['England'],193.0,,2023-01-25,Bristol City,2027-06-30,2000000.0,
347,215810,Tom King,Goalkeeper,1995-03-09,29,"['Wales', 'England']",194.0,right,2023-07-03,Northampton Town,2027-06-30,200000.0,
348,606718,Toti,Centre-Back,1999-01-16,26,"['Portugal', 'Guinea-Bissau']",187.0,left,2020-09-02,Estoril Praia,2029-06-30,20000000.0,
349,683895,Emmanuel Agbadou,Centre-Back,1997-06-17,27,"[""Cote d'Ivoire""]",192.0,right,2025-01-09,Stade Reims,2029-06-30,10000000.0,
350,438001,Santiago Bueno,Centre-Back,1998-11-09,26,"['Uruguay', 'Italy']",190.0,right,2023-08-31,Girona FC,2028-06-30,8000000.0,
351,716276,Yerson Mosquera,Centre-Back,2001-05-02,23,['Colombia'],188.0,right,2021-07-01,Atlético Nacional,2026-06-30,8000000.0,"Cruciate ligament tear - Return expected on Jun 1, 2025"
352,862297,Nasser Djiga,Centre-Back,2002-11-15,22,"['Burkina Faso', 'Serbia']",192.0,right,2025-02-03,Red Star Belgrade,2030-06-30,7000000.0,
353,955253,Bastien Meupiyou,Centre-Back,2006-03-19,18,"['France', 'Cameroon']",191.0,left,2024-08-29,FC Nantes,2029-06-30,2500000.0,
354,121477,Craig Dawson,Centre-Back,1990-05-06,34,['England'],188.0,right,2023-01-22,West Ham United,2025-06-30,2000000.0,
355,578391,Rayan Aït-Nouri,Left-Back,2001-06-06,23,"['Algeria', 'France']",180.0,left,2021-07-09,Angers SCO,2026-06-30,35000000.0,
356,231572,Nélson Semedo,Right-Back,1993-11-16,31,"['Portugal', 'Cape Verde']",177.0,right,2020-09-23,FC Barcelona,2025-06-30,10000000.0,Team captain
357,1193867,Pedro Lima,Right-Back,2006-07-01,18,['Brazil'],174.0,right,2024-07-01,Sport Club do Recife,2029-06-30,5000000.0,
358,171679,Matt Doherty,Right-Back,1992-01-16,33,['Ireland'],185.0,right,2023-07-20,: Ablöse free transfer,2026-06-30,2500000.0,
359,800176,André,Defensive Midfield,2001-07-16,23,['Brazil'],176.0,right,2024-08-30,Fluminense Football Club,2029-06-30,25000000.0,
360,649020,Boubacar Traoré,Defensive Midfield,2001-08-20,23,['Mali'],183.0,right,2023-07-01,FC Metz,2027-06-30,6000000.0,
361,735570,João Gomes,Central Midfield,2001-02-12,24,['Brazil'],176.0,right,2023-01-30,CR Flamengo,2028-06-30,40000000.0,
362,450050,Jean-Ricner Bellegarde,Central Midfield,1998-06-27,26,"['France', 'Haiti']",172.0,right,2023-09-01,RC Strasbourg Alsace,2028-06-30,18000000.0,
363,414908,Marshall Munetsi,Central Midfield,1996-06-22,28,['Zimbabwe'],188.0,right,2025-02-03,Stade Reims,2028-06-30,10000000.0,
364,433183,Tommy Doyle,Central Midfield,2001-10-17,23,['England'],172.0,right,2024-07-01,Manchester City,2028-06-30,10000000.0,
365,667121,Rodrigo Gomes,Right Midfield,2003-07-07,21,['Portugal'],175.0,right,2024-07-01,SC Braga,2029-06-30,15000000.0,
366,225122,Gonçalo Guedes,Left Winger,1996-11-29,28,['Portugal'],179.0,right,2022-08-08,Valencia CF,2027-06-30,15000000.0,
367,742451,Carlos Forbs,Left Winger,2004-03-19,20,"['Portugal', 'Guinea-Bissau']",169.0,left,2024-08-30,Ajax Amsterdam,2025-06-30,8000000.0,
368,1060740,Enso González,Left Winger,2005-01-20,20,['Paraguay'],169.0,left,2023-08-31,Club Libertad Asunción,2029-06-30,4000000.0,"Cruciate ligament tear - Return expected on Jun 1, 2025"
369,74230,Pablo Sarabia,Right Winger,1992-05-11,32,['Spain'],174.0,left,2023-01-17,: Ablöse €5.00m,2025-06-30,7000000.0,
370,517894,Matheus Cunha,Centre-Forward,1999-05-27,25,['Brazil'],183.0,right,2023-07-01,: Ablöse €50.00m,2029-06-30,50000000.0,
371,429983,Jørgen Strand Larsen,Centre-Forward,2000-02-06,25,['Norway'],193.0,right,2024-07-02,Celta de Vigo,2025-06-30,27000000.0,
372,292246,Hee-chan Hwang,Centre-Forward,1996-01-26,29,"['Korea, South']",177.0,right,2022-07-01,RB Leipzig,2028-06-30,22000000.0,Hamstring injury - Return unknown
373,369567,Sasa Kalajdzic,Centre-Forward,1997-07-07,27,['Austria'],200.0,right,2022-08-31,VfB Stuttgart,2027-06-30,5000000.0,"Cruciate ligament tear - Return expected on Apr 1, 2025"
374,863741,Nathan Fraser,Centre-Forward,2005-02-22,20,"['Ireland', 'England']",188.0,right,2024-01-01,Wolverhampton Wanderers U21,2028-06-30,600000.0,
375,192279,Kepa Arrizabalaga,Goalkeeper,1994-10-03,30,['Spain'],188.0,right,2024-08-29,Chelsea FC,2025-05-31,11000000.0,
376,582078,Will Dennis,Goalkeeper,2000-07-10,24,['England'],188.0,right,2021-07-01,AFC Bournemouth U21,2028-06-30,350000.0,
377,659089,Ilya Zabarnyi,Centre-Back,2002-09-01,22,['Ukraine'],189.0,right,2023-01-31,Dynamo Kyiv,2029-06-30,38000000.0,
378,469781,Marcos Senesi,Centre-Back,1997-05-10,27,"['Argentina', 'Italy']",185.0,left,2022-08-08,: Ablöse €15.00m,2026-06-30,24000000.0,"Hamstring injury - Return expected on Mar 15, 2025"
379,890290,Dean Huijsen,Centre-Back,2005-04-14,19,"['Spain', 'Netherlands']",197.0,both,2024-07-30,Juventus FC,2030-06-30,18000000.0,
380,611793,James Hill,Centre-Back,2002-01-10,23,['England'],184.0,right,2022-01-05,Fleetwood Town,2026-06-30,2000000.0,"Hamstring injury - Return expected on Mar 1, 2025"
381,994604,Matai Akinmboni,Centre-Back,2006-10-17,18,"['United States', 'Nigeria']",188.0,left,2025-01-03,D.C. United,,1000000.0,
382,939615,Max Kinsey,Centre-Back,2005-02-02,20,['England'],184.0,right,,,,150000.0,
383,730861,Milos Kerkez,Left-Back,2003-11-07,21,"['Hungary', 'Serbia']",180.0,left,2023-07-20,AZ Alkmaar,2028-06-30,28000000.0,
384,1009658,Julio Soler,Left-Back,2005-02-16,20,"['Argentina', 'Paraguay']",175.0,left,2025-01-07,CA Lanús,,8000000.0,
385,513970,Julián Araujo,Right-Back,2001-08-13,23,"['Mexico', 'United States']",176.0,right,2024-08-13,FC Barcelona,2029-06-30,10000000.0,"Hamstring injury - Return expected on Mar 1, 2025"
386,61841,Adam Smith,Right-Back,1991-04-29,33,['England'],174.0,right,2014-01-28,: Ablöse ?,2026-06-30,1000000.0,"Muscle injury - Return expected on Mar 1, 2025"
387,332705,Tyler Adams,Defensive Midfield,1999-02-14,26,['United States'],175.0,right,2023-08-20,Leeds United,2028-06-30,15000000.0,
388,855256,Alex Scott,Central Midfield,2003-08-21,21,"['England', 'Guernsey']",178.0,right,2023-08-10,Bristol City,2028-06-30,20000000.0,
389,249089,Lewis Cook,Central Midfield,1997-02-03,28,['England'],175.0,right,2016-07-08,Leeds United,2028-06-30,14000000.0,
390,188077,Ryan Christie,Central Midfield,1995-02-22,30,['Scotland'],178.0,left,2021-08-31,Celtic FC,2027-06-30,12000000.0,
391,399434,Marcus Tavernier,Left Midfield,1999-03-22,25,['England'],178.0,left,2022-08-01,Middlesbrough FC,2028-06-30,20000000.0,
392,330659,Justin Kluivert,Attacking Midfield,1999-05-05,25,"['Netherlands', 'Suriname']",172.0,both,2023-07-01,AS Roma,2028-06-30,22000000.0,
393,823231,Dango Ouattara,Left Winger,2002-02-11,23,['Burkina Faso'],177.0,left,2023-01-19,FC Lorient,2028-06-30,20000000.0,
394,512385,Luis Sinisterra,Left Winger,1999-06-17,25,['Colombia'],172.0,right,2024-07-01,Leeds United,,17000000.0,
395,583255,Antoine Semenyo,Right Winger,2000-01-07,25,"['Ghana', 'England']",185.0,right,2023-01-27,Bristol City,2029-06-30,28000000.0,
396,277033,David Brooks,Right Winger,1997-07-08,27,"['Wales', 'England']",173.0,left,2018-07-01,Sheffield United,2026-06-30,9000000.0,
397,711337,Evanilson,Centre-Forward,1999-10-06,25,['Brazil'],183.0,both,2024-08-16,FC Porto,,35000000.0,"Broken foot - Return expected on Apr 1, 2025"
398,251106,Enes Ünal,Centre-Forward,1997-05-10,27,['Türkiye'],187.0,right,2024-07-01,Getafe CF,2028-06-30,13000000.0,"Cruciate ligament tear - Return expected on Aug 8, 2025"
399,746740,Daniel Jebbison,Centre-Forward,2003-07-11,21,"['Canada', 'England']",190.0,right,2024-07-10,Sheffield United,2028-06-30,1200000.0,
400,130164,Jordan Pickford,Goalkeeper,1994-03-07,30,['England'],185.0,left,2017-07-01,Sunderland AFC,2027-06-30,20000000.0,
401,329813,João Virgínia,Goalkeeper,1999-10-10,25,['Portugal'],192.0,left,2020-07-01,Everton FC U23,2025-06-30,800000.0,
402,33873,Asmir Begovic,Goalkeeper,1987-06-20,37,"['Bosnia-Herzegovina', 'Canada']",199.0,right,2024-08-23,Queens Park Rangers,2025-06-30,300000.0,
403,661053,Jarrad Branthwaite,Centre-Back,2002-06-27,22,['England'],195.0,left,2020-01-13,Carlisle United,2027-06-30,42000000.0,
404,711544,Jake O'Brien,Centre-Back,2001-05-15,23,['Ireland'],197.0,right,2024-07-30,Olympique Lyon,2028-06-30,15000000.0,
405,173504,James Tarkowski,Centre-Back,1992-11-19,32,"['England', 'Poland']",185.0,right,2022-07-02,: Ablöse free transfer,2026-06-30,10000000.0,
406,118534,Michael Keane,Centre-Back,1993-01-11,32,"['England', 'Ireland']",188.0,right,2017-07-03,: Ablöse €28.50m,2025-06-30,6000000.0,
407,404842,Vitaliy Mykolenko,Left-Back,1999-05-29,25,['Ukraine'],180.0,left,2022-01-01,Dynamo Kyiv,2026-06-30,28000000.0,
408,14086,Ashley Young,Left-Back,1985-07-09,39,"['England', 'Jamaica']",175.0,both,2023-07-13,: Ablöse free transfer,2025-06-30,500000.0,
409,424015,Nathan Patterson,Right-Back,2001-10-16,23,['Scotland'],189.0,right,2022-01-04,: Ablöse €14.00m,2027-06-30,15000000.0,Hamstring injury - Return unknown
410,68390,Séamus Coleman,Right-Back,1988-10-11,36,['Ireland'],177.0,right,2009-01-01,Sligo Rovers,2025-06-30,500000.0,"Team captain; Calf injury - Return expected on Feb 26, 2025"
