Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,PrgC_90,PrgP_90,PrgR_90,xG_90,xAG_90,npxG_90,npxG+xAG_90,Possession_Influence,Defensive_Contribution,Final_Third_Impact,Tactical_Adaptability,TIS
Amine Salama,fr FRA,FW,Reims,23.0,2000.0,11,2,313,3.5,0,0,0,0,0,0,0,0,0.7,0.7,0.2,1.0,10,7,33,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.27,0.21,0.27,Matches,2.8753993610223643,2.012779552715655,9.488817891373802,0.20127795527156547,0.05750798722044729,0.20127795527156547,0.28753993610223644,7.987220447284346,100.0,4.792332268370606,4.259850905218318,29.499467518636845
Solly March,eng ENG,"FW,DF",Brighton,29.0,1994.0,7,7,554,6.2,3,1,4,3,0,0,1,0,2.0,2.0,1.0,2.9,14,24,44,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47,Matches,2.2743682310469313,3.898916967509025,7.148014440433212,0.3249097472924188,0.1624548736462094,0.3249097472924188,0.4711191335740072,7.400722021660649,94.44444444444444,8.46119133574007,6.979542719614923,29.49069895707982
Leandro Trossard,be BEL,"FW,MF",Arsenal,28.0,1994.0,34,18,1649,18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,66,76,155,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,Matches,3.6021831412977563,4.14796846573681,8.459672528805337,0.43117040630685266,0.1528198908429351,0.43117040630685266,0.5839902971497877,9.00545785324439,88.88888888888889,10.574590661006667,8.651708105922781,29.49013712014015
Adrian Grbić,at AUT,FW,Lorient,26.0,1996.0,1,0,31,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,0.0,0.0,11.612903225806452,0.2903225806451613,0.0,0.2903225806451613,0.2903225806451613,6.451612903225807,100.0,6.048387096774192,4.301075268817205,29.482526881720432
Noah Okafor,ch SUI,"FW,MF",Milan,23.0,2000.0,28,6,887,9.9,6,2,8,6,0,0,1,0,3.8,3.8,1.2,5.0,29,15,66,0.61,0.2,0.81,0.61,0.81,0.38,0.12,0.51,0.38,0.51,Matches,2.9425028184892894,1.5219842164599773,6.6967305524239,0.3855693348365276,0.12175873731679819,0.3855693348365276,0.5073280721533258,6.200676437429537,94.44444444444444,9.301014656144304,7.51597143930853,29.47826631592133
Rodrigo Muniz,br BRA,FW,Fulham,22.0,2001.0,26,18,1593,17.7,9,1,10,9,0,0,1,0,8.7,8.7,2.0,10.7,8,19,76,0.51,0.06,0.56,0.51,0.56,0.49,0.12,0.61,0.49,0.61,Matches,0.4519774011299435,1.073446327683616,4.293785310734464,0.4915254237288135,0.11299435028248588,0.4915254237288135,0.6045197740112994,3.232893910860013,94.44444444444444,11.417137476459507,8.955848503871104,29.47256225151705
Samuel Chukwueze,ng NGA,FW,Milan,24.0,1999.0,24,12,1017,11.3,1,3,4,1,0,0,1,0,1.7,1.7,2.3,3.9,52,51,135,0.09,0.27,0.35,0.09,0.35,0.15,0.2,0.35,0.15,0.35,Matches,4.601769911504425,4.513274336283185,11.946902654867255,0.15044247787610618,0.20353982300884954,0.15044247787610618,0.34513274336283184,11.701081612586037,94.44444444444444,5.254424778761061,5.113077679449361,29.471792035398227
Matheus Nunes,pt POR,MF,Manchester City,24.0,1998.0,17,7,661,7.3,0,2,2,0,0,0,0,0,0.8,0.8,1.1,2.0,28,34,58,0.0,0.27,0.27,0.0,0.27,0.11,0.15,0.27,0.11,0.27,Matches,3.812405446293495,4.6293494704992435,7.89712556732224,0.10892586989409986,0.1497730711043873,0.10892586989409986,0.2723146747352496,9.077155824508322,100.0,3.8294251134644473,4.034291477559254,29.46687468482098
Lucas Vázquez,es ESP,DF,Real Madrid,32.0,1991.0,29,14,1419,15.8,3,6,9,3,0,0,0,0,1.2,1.1,3.8,4.8,28,58,160,0.19,0.38,0.57,0.19,0.57,0.07,0.24,0.31,0.07,0.31,Matches,1.7758985200845665,3.678646934460888,10.14799154334038,0.07610993657505284,0.24101479915433402,0.06976744186046512,0.30443974630021137,8.668076109936575,100.0,4.030126849894291,4.510218463706836,29.461989076814657
Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,22.0,2001.0,30,24,2150,23.9,7,4,11,7,0,0,1,0,3.5,3.5,6.4,9.9,136,89,231,0.29,0.17,0.46,0.29,0.46,0.15,0.27,0.42,0.15,0.42,Matches,5.693023255813953,3.7255813953488373,9.669767441860465,0.14651162790697675,0.26790697674418606,0.14651162790697675,0.4144186046511628,10.604651162790699,94.44444444444444,5.843023255813953,6.139534883720931,29.4515180878553
