Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michael Keane,eng ENG,DF,Everton,32-059,1993,10,9,813,9.0,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,1,12,3,0.22,0.00,0.22,0.22,0.22,0.05,0.01,0.06,0.05,0.06,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,26-108,1998,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-156,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.00,0.30,0.30,0.00,0.30,0.12,0.14,0.26,0.12,0.26,Matches
Milos Kerkez,hu HUN,DF,Bournemouth,21-124,2003,28,28,"2,447",27.2,2,5,7,2,0,0,4,0,0.5,0.4,3.2,3.6,73,119,136,0.07,0.18,0.26,0.07,0.26,0.02,0.12,0.13,0.02,0.13,Matches
Bilal El Khannouss,ma MAR,MF,Leicester City,20-305,2004,23,18,"1,437",16.0,2,1,3,2,0,0,2,0,0.6,0.6,2.3,2.9,47,90,61,0.13,0.06,0.19,0.13,0.19,0.04,0.14,0.18,0.04,0.18,Matches
Abdukodir Khusanov,uz UZB,DF,Manchester City,21-010,2004,5,5,413,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,23,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Max Kilman,eng ENG,DF,West Ham,27-292,1997,28,28,"2,448",27.2,0,1,1,0,0,0,3,0,1.4,1.4,0.9,2.3,22,93,3,0.00,0.04,0.04,0.00,0.04,0.05,0.03,0.09,0.05,0.09,Matches
Joshua King,eng ENG,"MF,FW",Fulham,18-067,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,1,4,9,0.00,0.00,0.00,0.00,0.00,0.22,0.48,0.70,0.22,0.70,Matches
Antonín Kinský,cz CZE,GK,Tottenham,21-363,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Jakub Kiwior,pl POL,DF,Arsenal,25-024,2000,8,2,327,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-310,1999,27,23,"1,858",20.6,12,6,18,6,6,6,6,0,9.9,5.1,4.3,9.5,60,79,127,0.58,0.29,0.87,0.29,0.58,0.48,0.21,0.69,0.25,0.46,Matches
Ibrahima Konaté,fr FRA,DF,Liverpool,25-290,1999,23,22,"1,894",21.0,1,2,3,1,0,0,5,0,1.1,1.1,0.9,2.0,18,87,2,0.05,0.10,0.14,0.05,0.14,0.05,0.04,0.09,0.05,0.09,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,27-139,1997,25,25,"2,171",24.1,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.8,16,59,11,0.04,0.00,0.04,0.04,0.04,0.03,0.01,0.03,0.03,0.03,Matches
