Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luken Beitia,es ESP,DF,Real Sociedad,20-254,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ismael Bekhoucha,ma MAR,MF,Getafe,20-111,2004,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Héctor Bellerín,es ESP,DF,Betis,29-357,1995,7,6,524,5.8,0,1,1,0,0,0,1,0,0.2,0.2,2.0,2.2,3,24,20,0.00,0.17,0.17,0.00,0.17,0.03,0.34,0.38,0.03,0.38,Matches
Jude Bellingham,eng ENG,MF,Real Madrid,21-255,2003,21,21,"1,713",19.0,7,6,13,6,1,2,3,1,7.8,6.3,2.7,8.9,54,138,97,0.37,0.32,0.68,0.32,0.63,0.41,0.14,0.55,0.33,0.47,Matches
Fran Beltrán,es ESP,MF,Celta Vigo,26-036,1999,23,20,"1,633",18.1,2,0,2,2,0,0,2,0,0.6,0.6,1.2,1.8,16,101,17,0.11,0.00,0.11,0.11,0.11,0.03,0.06,0.10,0.03,0.10,Matches
Carlos Benavídez,uy URU,MF,Alavés,26-346,1998,10,5,331,3.7,1,1,2,1,0,0,2,0,0.1,0.1,0.6,0.7,3,18,4,0.27,0.27,0.54,0.27,0.54,0.03,0.17,0.20,0.03,0.20,Matches
Iker Benito,es ESP,"FW,MF",Osasuna,22-213,2002,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,35-029,1990,22,15,"1,469",16.3,0,2,2,0,0,0,3,0,0.5,0.5,2.1,2.6,32,109,49,0.00,0.12,0.12,0.00,0.12,0.03,0.13,0.16,0.03,0.16,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,29-250,1995,26,19,"1,586",17.6,5,6,11,5,0,1,3,0,5.8,5.0,4.1,9.2,44,55,143,0.28,0.34,0.62,0.28,0.62,0.33,0.23,0.56,0.29,0.52,Matches
Marc Bernal,es ESP,MF,Barcelona,17-289,2007,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
Juan Bernat,es ESP,"DF,MF",Villarreal,32-010,1993,10,1,212,2.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,4,8,23,0.00,0.42,0.42,0.00,0.42,0.12,0.17,0.29,0.12,0.29,Matches
Juan Bernat,es ESP,MF,Getafe,32-010,1993,5,4,295,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,4,12,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
Juan Berrocal,es ESP,DF,Getafe,25-311,1999,12,8,794,8.8,0,0,0,0,0,0,6,1,0.2,0.2,0.0,0.3,1,20,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Antonio Blanco,es ESP,MF,Alavés,24-231,2000,25,22,"1,861",20.7,0,1,1,0,0,0,8,1,0.7,0.7,1.4,2.0,5,103,13,0.00,0.05,0.05,0.00,0.05,0.03,0.07,0.10,0.03,0.10,Matches
Daley Blind,nl NED,DF,Girona,35-002,1990,23,20,"1,790",19.9,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.0,48,185,37,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches
Adama Boiro,es ESP,DF,Athletic Club,22-262,2002,12,10,763,8.5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,13,28,18,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
