Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kevin Kampl,si SVN,MF,RB Leipzig,34-153,1990,22,16,"1,376",15.3,1,0,1,1,0,0,4,0,0.8,0.8,1.4,2.1,17,97,30,0.07,0.00,0.07,0.07,0.07,0.05,0.09,0.14,0.05,0.14,Matches
Harry Kane,eng ENG,FW,Bayern Munich,31-226,1993,23,21,"1,760",19.6,21,7,28,12,9,9,4,0,16.2,9.2,3.3,12.5,20,68,106,1.07,0.36,1.43,0.61,0.97,0.83,0.17,1.00,0.47,0.64,Matches
Atakan Karazor,,MF,Stuttgart,28-149,1996,23,22,"1,820",20.2,1,2,3,1,0,0,8,1,1.2,1.2,1.7,2.9,11,97,21,0.05,0.10,0.15,0.05,0.15,0.06,0.08,0.14,0.06,0.14,Matches
Mikkel Kaufmann,dk DEN,FW,Heidenheim,24-067,2001,9,3,372,4.1,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,4,10,21,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.15,0.13,0.15,Matches
Yannik Keitel,de GER,MF,Stuttgart,25-024,2000,8,1,157,1.7,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,8,2,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22,Matches
Andu Kelati,de GER,"MF,DF",Holstein Kiel,22-210,2002,8,2,288,3.2,1,1,2,1,0,0,2,1,0.9,0.9,0.8,1.7,3,19,11,0.31,0.31,0.62,0.31,0.62,0.27,0.26,0.53,0.27,0.53,Matches
Thomas Keller,de GER,"DF,MF",Heidenheim,25-218,1999,3,2,121,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aljoscha Kemlein,de GER,MF,Union Berlin,20-221,2004,15,11,922,10.2,1,0,1,1,0,0,3,0,0.9,0.9,0.6,1.5,5,42,19,0.10,0.00,0.10,0.10,0.10,0.09,0.06,0.15,0.09,0.15,Matches
Luca Kerber,de GER,MF,Heidenheim,23-001,2002,16,7,657,7.3,1,0,1,1,0,0,4,0,0.4,0.4,0.4,0.8,1,12,11,0.14,0.00,0.14,0.14,0.14,0.05,0.06,0.11,0.05,0.11,Matches
Rani Khedira,de GER,MF,Union Berlin,31-043,1994,23,22,"1,913",21.3,0,0,0,0,0,0,6,0,0.6,0.6,0.4,1.0,9,63,22,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
