,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
108,Nadiem Amiri,GER,MF,Mainz 05,de  Bundesliga,28-135,1996.0,19.5,964,1260,76.5,17339,6728,433,486,89.1,391,463,84.4,117,241,48.5,3,5.1,6.8,-2.1,44,132,36,7,142
109,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,eng  Premier League,18-236,2006.0,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0
110,Mathis Amougou,FRA,MF,Chelsea,eng  Premier League,19-052,2006.0,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
111,Mathis Amougou,FRA,MF,Saint-Étienne,fr  Ligue 1,19-052,2006.0,9.5,232,301,77.1,3514,1194,126,146,86.3,82,107,76.6,14,25,56.0,0,0.4,0.3,-0.4,7,23,4,0,36
112,Mohamed Amoura,ALG,FW,Wolfsburg,de  Bundesliga,24-306,2000.0,21.0,400,570,70.2,6210,1210,212,286,74.1,122,154,79.2,38,48,79.2,8,3.2,3.0,4.8,26,25,21,4,47
113,Sofyan Amrabat,MAR,MF,Fiorentina,it  Serie A,28-202,1996.0,2.0,112,133,84.2,2140,528,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,0,14
114,Joachim Andersen,DEN,DF,Crystal Palace,eng  Premier League,28-284,1996.0,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4
115,Joachim Andersen,DEN,DF,Fulham,eng  Premier League,28-284,1996.0,18.7,1129,1356,83.3,25076,10161,297,325,91.4,636,677,93.9,188,331,56.8,0,0.3,0.3,-0.3,3,134,3,1,84
116,Elliot Anderson,ENG,MF,Nott'ham Forest,eng  Premier League,22-125,2002.0,21.0,714,913,78.2,11523,4043,372,417,89.2,264,330,80.0,54,111,48.6,5,2.9,3.1,2.1,31,73,13,2,100
117,André,BRA,MF,Wolves,eng  Premier League,23-238,2001.0,18.4,786,848,92.7,12864,3663,390,409,95.4,318,334,95.2,55,68,80.9,0,0.6,0.5,-0.6,11,78,3,0,72
118,Benjamin André,FRA,MF,Lille,fr  Ligue 1,34-220,1990.0,21.9,1159,1401,82.7,19689,5357,556,627,88.7,472,540,87.4,106,160,66.3,1,1.3,1.9,-0.3,13,148,14,2,158
119,Marcos André,BRA,FW,Valladolid,es  La Liga,28-142,1996.0,12.8,136,206,66.0,2337,388,77,101,76.2,42,64,65.6,14,18,77.8,2,0.8,0.3,1.2,9,13,3,0,16
120,Robert Andrich,GER,MF,Leverkusen,de  Bundesliga,30-170,1994.0,13.8,666,746,89.3,10443,2314,365,393,92.9,241,265,90.9,39,58,67.2,1,0.2,0.8,0.8,7,59,7,0,54
121,Angeliño,ESP,DF,Roma,it  Serie A,28-066,1997.0,25.3,1199,1510,79.4,21568,7827,526,590,89.2,540,645,83.7,121,227,53.3,1,2.2,2.5,-1.2,36,115,42,15,136
122,Lorenzo Anghelè,ITA,FW,Juventus,it  Serie A,20-013,2005.0,0.1,4,4,100.0,82,12,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
123,Faustino Anjorin,ENG,MF,Empoli,it  Serie A,23-108,2001.0,10.9,309,382,80.9,5431,1868,139,163,85.3,139,156,89.1,24,42,57.1,3,1.6,1.1,1.4,16,37,13,1,50
