,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
124,Waldemar Anton,GER,DF,Dortmund,de  Bundesliga,28-234,1996.0,12.7,0,13,0,0.0,1.03,0.0,0.0,,14.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8
125,Leandro Antonetti,PUR,FW,Sevilla,es  La Liga,22-057,2003.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
126,Michail Antonio,JAM,FW,West Ham,eng  Premier League,34-348,1990.0,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2
127,Antoniu,ESP,"MF,FW",Espanyol,es  La Liga,22-187,2002.0,5.4,0,8,4,50.0,1.48,0.74,0.0,0.0,21.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6
128,Antony,BRA,"DF,MF",Manchester Utd,eng  Premier League,25-015,2000.0,1.6,0,6,3,50.0,3.83,1.91,0.0,0.0,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0
129,Antony,BRA,FW,Betis,es  La Liga,25-015,2000.0,5.6,2,12,5,41.7,2.16,0.9,0.17,0.4,18.5,0,0,0,0.7,0.7,0.06,1.3,1.3
130,Anuar,MAR,"FW,MF",Valladolid,es  La Liga,30-055,1995.0,13.5,2,8,4,50.0,0.59,0.3,0.25,0.5,12.2,0,0,0,1.4,1.4,0.18,0.6,0.6
131,Dennis Appiah,FRA,DF,Saint-Étienne,fr  Ligue 1,32-275,1992.0,17.6,0,3,1,33.3,0.17,0.06,0.0,0.0,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
132,Aritz Arambarri,ESP,DF,Leganés,es  La Liga,27-039,1998.0,2.0,0,1,0,0.0,0.51,0.0,0.0,,15.7,0,0,0,0.0,0.0,0.02,0.0,0.0
133,Mauro Arambarri,URU,MF,Getafe,es  La Liga,29-162,1995.0,20.1,8,32,10,31.3,1.59,0.5,0.16,0.5,18.4,1,3,3,5.9,3.5,0.11,2.1,1.5
134,Jon Aramburu,VEN,DF,Real Sociedad,es  La Liga,22-231,2002.0,20.3,0,10,2,20.0,0.49,0.1,0.0,0.0,21.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4
