,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
112,Tadeo Allende,ARG,FW,Celta Vigo,es  La Liga,26-019,1999.0,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,7,1.5,0.0,1.0,-1.0,-45.0,-45.0,0.0,0.0,0.0,0.0,-0.29
113,Jim Allevinah,GAB,FW,Angers,fr  Ligue 1,30-012,1995.0,20,1331.0,67.0,59.2,14.8,19,69.0,1,1,16.0,0,1.35,14.0,22.0,-8.0,-0.54,0.05,16.4,25.6,-9.2,-0.62,-0.3
114,Max Alleyne,ENG,DF,Manchester City,eng  Premier League,19-196,2005.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
115,Dele Alli,ENG,"FW,MF",Como,it  Serie A,28-334,1996.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
116,Thiago Almada,ARG,"MF,FW",Lyon,fr  Ligue 1,23-319,2001.0,7,275.0,39.0,12.2,3.1,2,89.0,1,5,19.0,1,1.86,9.0,3.0,6.0,1.96,1.55,6.6,5.0,1.6,0.53,0.37
117,Alex Almansa,ESP,FW,Espanyol,es  La Liga,21-123,2003.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
118,Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,es  La Liga,24-285,2000.0,24,1327.0,55.0,54.6,14.7,15,75.0,4,9,22.0,2,1.08,18.0,22.0,-4.0,-0.27,0.63,17.4,22.2,-4.7,-0.32,0.01
119,Iker Almena,ESP,"FW,DF",Girona,es  La Liga,20-311,2004.0,2,48.0,24.0,2.0,0.5,0,,0,2,24.0,0,0.5,1.0,1.0,0.0,0.0,0.19,1.1,1.0,0.1,0.24,0.35
120,Miguel Almirón,PAR,FW,Newcastle Utd,eng  Premier League,31-029,1994.0,9,157.0,17.0,6.2,1.7,1,67.0,0,8,11.0,14,1.56,1.0,3.0,-2.0,-1.15,-1.57,2.8,3.6,-0.8,-0.47,-0.92
121,Pontus Almqvist,SWE,"FW,MF",Parma,it  Serie A,25-244,1999.0,25,924.0,37.0,36.7,10.3,7,62.0,0,18,27.0,3,0.68,14.0,21.0,-7.0,-0.68,-0.29,14.0,18.6,-4.6,-0.45,0.08
122,Marcos Alonso,ESP,DF,Celta Vigo,es  La Liga,34-073,1990.0,21,1800.0,86.0,74.1,20.0,19,89.0,17,2,51.0,0,1.43,25.0,25.0,0.0,0.0,0.14,27.6,18.2,9.3,0.47,0.68
123,Giorgio Altare,ITA,DF,Venezia,it  Serie A,26-214,1998.0,12,753.0,63.0,29.9,8.4,8,80.0,5,4,29.0,4,0.92,9.0,12.0,-3.0,-0.36,0.46,6.5,13.4,-7.0,-0.83,-0.26
124,Adrià Altimira,ESP,"DF,FW",Leganés,es  La Liga,23-348,2001.0,15,1082.0,72.0,44.5,12.0,12,79.0,6,3,43.0,11,1.0,10.0,20.0,-10.0,-0.83,-0.43,8.3,19.6,-11.2,-0.93,-0.32
125,Sergi Altimira,ESP,MF,Betis,es  La Liga,23-198,2001.0,23,1508.0,66.0,62.1,16.8,16,79.0,6,7,35.0,4,1.61,24.0,25.0,-1.0,-0.06,-0.35,27.2,20.3,6.8,0.41,0.4
126,Laurenzo Alvarenga,FRA,MF,Nice,fr  Ligue 1,20-287,2004.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
127,Edson Álvarez,MEX,MF,West Ham,eng  Premier League,27-138,1997.0,23,1535.0,67.0,60.9,17.1,18,77.0,4,5,31.0,0,1.22,16.0,26.0,-10.0,-0.59,-0.04,20.4,25.3,-4.9,-0.29,0.24
128,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,es  La Liga,21-252,2003.0,22,1387.0,63.0,57.1,15.4,14,82.0,9,8,30.0,1,1.27,24.0,26.0,-2.0,-0.13,-0.22,23.1,16.6,6.5,0.42,0.3
129,Iker Álvarez,AND,GK,Villarreal,es  La Liga,23-229,2001.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
130,Julián Álvarez,ARG,"FW,MF",Atlético Madrid,es  La Liga,25-039,2000.0,27,1758.0,65.0,72.3,19.5,21,75.0,7,6,30.0,0,2.07,30.0,11.0,19.0,0.97,0.04,28.8,18.9,9.9,0.51,-0.68
131,Yeray Álvarez,ESP,DF,Athletic Club,es  La Liga,30-046,1995.0,16,1331.0,83.0,54.8,14.8,15,89.0,14,1,2.0,6,1.69,15.0,11.0,4.0,0.27,-1.12,18.6,13.2,5.3,0.36,-0.53
132,Skelly Alvero,FRA,MF,Werder Bremen,de  Bundesliga,22-311,2002.0,12,236.0,20.0,10.5,2.6,1,56.0,0,11,16.0,9,1.42,0.0,4.0,-4.0,-1.53,-1.21,2.7,5.9,-3.3,-1.25,-1.25
133,Will Alves,ENG,FW,Leicester City,eng  Premier League,20-036,2005.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,2,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,2.92,3.92
134,Selim Amallah,MAR,MF,Valladolid,es  La Liga,28-116,1996.0,18,1047.0,58.0,43.1,11.6,13,68.0,2,5,33.0,3,0.5,8.0,25.0,-17.0,-1.46,0.3,9.7,19.3,-9.6,-0.82,0.17
135,Harry Amass,ENG,DF,Manchester Utd,eng  Premier League,17-360,2007.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
136,Amath,SEN,"FW,DF",Valladolid,es  La Liga,28-238,1996.0,9,316.0,35.0,13.0,3.5,5,57.0,0,4,7.0,13,0.78,2.0,6.0,-4.0,-1.14,0.56,3.7,4.7,-1.0,-0.28,0.74
137,Jordan Amavi,FRA,DF,Brest,fr  Ligue 1,31-002,1994.0,11,790.0,72.0,35.1,8.8,8,87.0,4,3,33.0,6,1.18,8.0,18.0,-10.0,-1.14,-1.63,10.0,16.6,-6.6,-0.75,-0.81
138,Aurele Amenda,SUI,DF,Eint Frankfurt,de  Bundesliga,21-223,2003.0,4,70.0,18.0,3.1,0.8,1,45.0,0,3,8.0,11,2.5,1.0,1.0,0.0,0.0,-0.5,1.4,2.1,-0.7,-0.95,-1.3
139,Kelvin Amian,FRA,DF,Nantes,fr  Ligue 1,27-031,1998.0,22,1568.0,71.0,69.7,17.4,16,88.0,13,6,26.0,3,1.05,17.0,28.0,-11.0,-0.63,-0.1,19.1,28.8,-9.7,-0.56,-0.47
140,Michael Amir Murillo,PAN,DF,Marseille,fr  Ligue 1,29-028,1996.0,23,1807.0,79.0,80.3,20.1,20,87.0,18,3,26.0,0,2.09,43.0,24.0,19.0,0.95,0.34,34.8,27.6,7.2,0.36,-0.9
141,Nadiem Amiri,GER,MF,Mainz 05,de  Bundesliga,28-135,1996.0,22,1756.0,80.0,78.0,19.5,22,80.0,13,0,,0,1.86,36.0,20.0,16.0,0.82,0.82,29.7,24.1,5.6,0.29,0.9
142,Samuel Amissah,ENG,DF,Fulham,eng  Premier League,18-004,2007.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
143,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,eng  Premier League,18-236,2006.0,2,28.0,14.0,1.1,0.3,0,,0,2,14.0,7,0.0,0.0,0.0,0.0,0.0,1.73,0.3,1.1,-0.8,-2.5,-1.03
144,Samuel Amo-Ameyaw,ENG,FW,Strasbourg,fr  Ligue 1,18-236,2006.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
145,Mathis Amougou,FRA,MF,Chelsea,eng  Premier League,19-052,2006.0,1,8.0,8.0,0.3,0.1,0,,0,1,8.0,3,3.0,0.0,0.0,0.0,0.0,-0.61,0.2,0.0,0.2,1.97,1.38
146,Mathis Amougou,FRA,MF,Saint-Étienne,fr  Ligue 1,19-052,2006.0,17,859.0,51.0,38.2,9.5,9,77.0,3,8,21.0,1,0.71,8.0,20.0,-12.0,-1.26,0.04,8.7,18.5,-9.8,-1.03,0.27
147,Mohamed Amoura,ALG,FW,Wolfsburg,de  Bundesliga,24-306,2000.0,23,1886.0,82.0,83.8,21.0,22,84.0,7,1,45.0,0,1.52,41.0,32.0,9.0,0.43,0.18,30.1,31.5,-1.3,-0.06,0.16
148,Sofyan Amrabat,MAR,MF,Fiorentina,it  Serie A,28-202,1996.0,2,180.0,90.0,7.1,2.0,2,90.0,2,0,,0,1.0,1.0,1.0,0.0,0.0,-0.5,1.6,2.3,-0.7,-0.36,-0.58
149,Joachim Andersen,DEN,DF,Crystal Palace,eng  Premier League,28-284,1996.0,1,90.0,90.0,3.6,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,-1.15,1.2,1.6,-0.4,-0.42,-0.76
150,Joachim Andersen,DEN,DF,Fulham,eng  Premier League,28-284,1996.0,19,1683.0,89.0,66.8,18.7,19,89.0,18,0,,2,1.58,30.0,26.0,4.0,0.21,0.32,29.3,20.7,8.6,0.47,0.67
151,Elliot Anderson,ENG,MF,Nott'ham Forest,eng  Premier League,22-125,2002.0,27,1892.0,70.0,75.1,21.0,23,78.0,7,4,27.0,0,1.89,36.0,26.0,10.0,0.48,0.19,25.5,25.9,-0.4,-0.02,-0.27
152,André,BRA,MF,Wolves,eng  Premier League,23-238,2001.0,23,1657.0,72.0,65.8,18.4,21,79.0,9,2,3.0,2,0.83,25.0,36.0,-11.0,-0.6,0.24,19.1,28.6,-9.5,-0.52,-0.09
153,Benjamin André,FRA,MF,Lille,fr  Ligue 1,34-220,1990.0,22,1972.0,90.0,87.6,21.9,22,90.0,21,0,,0,1.68,34.0,26.0,8.0,0.37,-1.25,34.9,31.2,3.7,0.17,-1.06
154,Marcos André,BRA,FW,Valladolid,es  La Liga,28-142,1996.0,19,1156.0,61.0,47.6,12.8,14,75.0,2,5,20.0,6,0.47,11.0,31.0,-20.0,-1.56,0.14,10.3,21.9,-11.5,-0.9,0.04
155,Francesco Andrealli,ITA,MF,Como,it  Serie A,17-218,2007.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
156,Aleksandar Andreev,BUL,GK,Girona,es  La Liga,18-351,2006.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
157,Robert Andrich,GER,MF,Leverkusen,de  Bundesliga,30-170,1994.0,17,1240.0,73.0,55.1,13.8,15,81.0,8,2,9.0,6,2.18,28.0,14.0,14.0,1.02,0.04,24.4,13.5,10.9,0.79,-0.17
158,Angeliño,ESP,DF,Roma,it  Serie A,28-066,1997.0,28,2277.0,81.0,90.4,25.3,26,86.0,22,2,20.0,0,1.64,39.0,27.0,12.0,0.47,0.1,36.8,28.2,8.5,0.34,-0.15
159,Mathys Angély,FRA,DF,Wolfsburg,de  Bundesliga,17-324,2007.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
160,Lorenzo Anghelè,ITA,FW,Juventus,it  Serie A,20-013,2005.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,0,3.0,0.0,0.0,0.0,0.0,-0.72,0.0,0.0,0.0,0.0,-0.47
161,Faustino Anjorin,ENG,MF,Empoli,it  Serie A,23-108,2001.0,17,983.0,58.0,39.0,10.9,13,70.0,1,4,18.0,0,0.88,13.0,14.0,-1.0,-0.09,1.14,9.7,12.6,-2.9,-0.26,0.46
162,Aaron Anselmino,ARG,DF,Chelsea,eng  Premier League,19-316,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
163,Jaidon Anthony,ENG,"FW,MF",Bournemouth,eng  Premier League,25-100,1999.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
164,Waldemar Anton,GER,DF,Dortmund,de  Bundesliga,28-234,1996.0,17,1140.0,67.0,50.7,12.7,13,81.0,11,4,22.0,3,1.41,24.0,19.0,5.0,0.39,0.31,19.6,15.1,4.5,0.36,-0.13
165,Leandro Antonetti,PUR,FW,Sevilla,es  La Liga,22-057,2003.0,1,11.0,11.0,0.5,0.1,0,,0,1,11.0,3,1.0,0.0,0.0,0.0,0.0,0.15,0.3,0.2,0.1,0.67,0.95
166,Kyllian Antonio,FRA,DF,Lens,fr  Ligue 1,17-066,2008.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
167,Michail Antonio,JAM,FW,West Ham,eng  Premier League,34-348,1990.0,14,836.0,60.0,33.2,9.3,11,66.0,0,3,37.0,0,1.07,13.0,18.0,-5.0,-0.54,0.05,11.4,17.8,-6.4,-0.69,-0.47
168,Antoniu,ESP,"MF,FW",Espanyol,es  La Liga,22-187,2002.0,15,485.0,32.0,20.0,5.4,6,58.0,0,9,15.0,9,1.13,5.0,5.0,0.0,0.0,0.56,5.2,7.1,-1.9,-0.35,0.51
169,Antony,BRA,"DF,MF",Manchester Utd,eng  Premier League,25-015,2000.0,8,141.0,18.0,5.6,1.6,0,,0,8,18.0,11,0.88,5.0,2.0,3.0,1.91,2.26,4.7,2.2,2.5,1.6,1.9
170,Antony,BRA,FW,Betis,es  La Liga,25-015,2000.0,6,501.0,84.0,20.6,5.6,6,84.0,3,0,,0,2.17,12.0,6.0,6.0,1.08,1.26,11.2,6.4,4.7,0.85,0.75
171,Genesis Antwi,SWE,MF,Chelsea,eng  Premier League,17-304,2007.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
172,Anuar,MAR,"FW,MF",Valladolid,es  La Liga,30-055,1995.0,17,1212.0,71.0,49.9,13.5,14,80.0,7,3,29.0,1,0.65,8.0,26.0,-18.0,-1.34,0.58,10.9,22.1,-11.1,-0.83,0.19
173,Dennis Appiah,FRA,DF,Saint-Étienne,fr  Ligue 1,32-275,1992.0,22,1588.0,72.0,70.6,17.6,16,90.0,15,6,25.0,0,0.86,18.0,42.0,-24.0,-1.36,-0.27,19.7,38.4,-18.7,-1.06,0.46
174,Aritz Arambarri,ESP,DF,Leganés,es  La Liga,27-039,1998.0,2,177.0,89.0,7.3,2.0,2,89.0,1,0,,1,2.0,3.0,2.0,1.0,0.51,1.19,2.5,2.6,-0.2,-0.08,0.73
175,Mauro Arambarri,URU,MF,Getafe,es  La Liga,29-162,1995.0,25,1807.0,72.0,74.4,20.1,21,82.0,15,4,23.0,0,1.2,19.0,19.0,0.0,0.0,-0.14,20.8,22.2,-1.5,-0.07,0.73
176,Jon Aramburu,VEN,DF,Real Sociedad,es  La Liga,22-231,2002.0,24,1828.0,76.0,75.2,20.3,22,82.0,14,2,12.0,2,1.42,20.0,21.0,-1.0,-0.05,0.55,24.2,20.6,3.5,0.17,0.75
177,Egoitz Arana,ESP,GK,Real Sociedad,es  La Liga,23-020,2002.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
178,Julian Araujo,MEX,DF,Bournemouth,eng  Premier League,23-210,2001.0,8,355.0,44.0,14.1,3.9,5,61.0,0,3,17.0,3,1.13,2.0,7.0,-5.0,-1.27,-2.02,4.8,6.7,-1.9,-0.48,-1.12
179,Ronald Araújo,URU,DF,Barcelona,es  La Liga,26-004,1999.0,4,231.0,58.0,9.5,2.6,4,58.0,1,0,,6,2.5,6.0,2.0,4.0,1.56,-0.16,5.3,1.7,3.6,1.42,0.13
180,Matías Árbol,ESP,GK,Sevilla,es  La Liga,22-180,2002.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
181,Cameron Archer,ENG,FW,Southampton,eng  Premier League,23-233,2001.0,25,1159.0,46.0,46.0,12.9,11,72.0,0,14,26.0,2,0.24,8.0,28.0,-20.0,-1.55,0.3,12.5,31.8,-19.3,-1.5,-0.03
182,Carlens Arcus,HAI,DF,Angers,fr  Ligue 1,28-256,1996.0,21,1542.0,73.0,68.5,17.1,19,77.0,10,2,36.0,0,1.05,19.0,27.0,-8.0,-0.47,0.3,19.6,27.0,-7.4,-0.43,0.22
183,Alphonse Areola,FRA,GK,West Ham,eng  Premier League,32-012,1993.0,17,1450.0,85.0,57.5,16.1,16,87.0,15,1,55.0,7,1.06,18.0,28.0,-10.0,-0.62,-0.12,19.7,24.5,-4.8,-0.3,0.2
184,Adu Ares,ESP,FW,Athletic Club,es  La Liga,23-150,2001.0,1,19.0,19.0,0.8,0.2,0,,0,1,19.0,2,0.0,0.0,1.0,-1.0,-4.74,-5.56,0.1,0.3,-0.2,-0.73,-1.34
185,Jesús Areso,ESP,DF,Osasuna,es  La Liga,25-252,1999.0,24,2031.0,85.0,83.6,22.6,23,87.0,17,1,28.0,1,1.32,31.0,28.0,3.0,0.13,1.94,25.7,29.1,-3.5,-0.15,0.93
186,David Argüelles,ESP,MF,Getafe,es  La Liga,23-069,2002.0,1,7.0,7.0,0.3,0.1,0,,0,1,7.0,13,1.0,1.0,0.0,1.0,12.86,12.86,1.4,0.0,1.4,17.47,17.78
187,Iñigo Arguibide,ESP,FW,Osasuna,es  La Liga,19-326,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
188,Joe Aribo,NGA,"MF,DF",Southampton,eng  Premier League,28-233,1996.0,27,1737.0,64.0,68.9,19.3,18,81.0,8,9,32.0,1,0.33,16.0,49.0,-33.0,-1.71,0.01,17.3,49.6,-32.2,-1.67,-0.6
189,Adam Armstrong,ENG,"FW,MF",Southampton,eng  Premier League,28-029,1997.0,20,1248.0,62.0,49.5,13.9,15,75.0,4,5,25.0,4,0.3,7.0,35.0,-28.0,-2.02,-0.6,12.8,32.4,-19.6,-1.41,0.14
190,Harrison Armstrong,ENG,MF,Everton,eng  Premier League,18-051,2007.0,3,48.0,16.0,1.9,0.5,0,,0,3,16.0,20,1.0,0.0,1.0,-1.0,-1.87,-1.77,0.7,0.4,0.2,0.44,0.6
191,José Arnaiz,ESP,"FW,MF",Osasuna,es  La Liga,29-330,1995.0,8,54.0,7.0,2.2,0.6,0,,0,8,7.0,14,0.25,1.0,1.0,0.0,0.0,0.19,1.5,0.7,0.8,1.42,1.76
192,Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,fr  Ligue 1,21-335,2003.0,17,1137.0,67.0,50.5,12.6,13,78.0,4,4,31.0,0,1.82,18.0,13.0,5.0,0.4,-0.25,20.6,18.0,2.6,0.2,-0.2
193,Marko Arnautović,AUT,FW,Inter,it  Serie A,35-326,1989.0,10,239.0,24.0,9.5,2.7,1,69.0,0,9,19.0,18,2.3,7.0,6.0,1.0,0.38,-1.0,5.2,2.7,2.5,0.93,-0.01
194,Maximilian Arnold,GER,MF,Wolfsburg,de  Bundesliga,30-288,1994.0,21,1791.0,85.0,79.6,19.9,20,87.0,18,1,45.0,0,1.43,43.0,30.0,13.0,0.65,1.24,30.4,31.4,-1.0,-0.05,0.19
195,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,de  Bundesliga,25-064,2000.0,19,643.0,34.0,28.6,7.1,3,78.0,1,16,26.0,5,0.42,15.0,14.0,1.0,0.14,1.54,12.5,13.2,-0.7,-0.1,0.73
196,Sergio Arribas,ESP,DF,Betis,es  La Liga,22-029,2003.0,1,90.0,90.0,3.7,1.0,1,90.0,1,0,,2,3.0,1.0,0.0,1.0,1.0,0.96,0.4,1.0,-0.6,-0.56,-0.85
197,Kepa Arrizabalaga,ESP,GK,Bournemouth,eng  Premier League,30-159,1994.0,21,1890.0,90.0,75.0,21.0,21,90.0,21,0,,1,1.62,39.0,27.0,12.0,0.57,0.43,40.8,27.7,13.1,0.62,0.59
198,Ricard Artero,ESP,MF,Girona,es  La Liga,22-034,2003.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
199,Arthur,BRA,"DF,FW",Leverkusen,de  Bundesliga,21-359,2003.0,12,495.0,41.0,22.0,5.5,6,74.0,2,6,8.0,10,2.17,11.0,5.0,6.0,1.09,0.12,8.8,4.8,4.0,0.73,-0.18
200,Benjamin Arthur,ENG,DF,Brentford,eng  Premier League,19-153,2005.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
201,Takuma Asano,JPN,"FW,MF",Mallorca,es  La Liga,30-121,1994.0,16,745.0,47.0,30.7,8.3,9,66.0,0,7,22.0,2,1.13,10.0,9.0,1.0,0.12,0.55,9.7,8.2,1.6,0.19,0.3
202,Raúl Asencio,ESP,DF,Real Madrid,es  La Liga,22-026,2003.0,14,949.0,68.0,39.1,10.5,9,87.0,8,5,32.0,2,2.29,22.0,8.0,14.0,1.33,0.29,24.7,8.5,16.2,1.53,1.0
203,Marco Asensio,ESP,"MF,FW",Aston Villa,eng  Premier League,29-049,1996.0,4,207.0,52.0,7.9,2.3,2,78.0,1,2,26.0,0,1.25,5.0,5.0,0.0,0.0,0.15,4.0,5.8,-1.8,-0.76,-0.87
204,Marco Asensio,ESP,"FW,MF",Paris S-G,fr  Ligue 1,29-049,1996.0,12,618.0,52.0,27.5,6.9,8,72.0,2,4,12.0,6,2.5,19.0,5.0,14.0,2.04,0.27,21.0,6.6,14.4,2.1,0.57
205,Kristjan Asllani,ALB,MF,Inter,it  Serie A,23-002,2002.0,15,603.0,40.0,23.9,6.7,6,75.0,2,9,17.0,11,2.2,13.0,7.0,6.0,0.9,-0.51,12.1,5.6,6.5,0.97,0.03
206,Ank Asmussen,DEN,FW,Empoli,it  Serie A,20-013,2005.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
207,Iago Aspas,ESP,"FW,MF",Celta Vigo,es  La Liga,37-222,1987.0,20,1326.0,66.0,54.6,14.7,14,84.0,8,6,26.0,2,1.45,24.0,22.0,2.0,0.14,0.38,22.4,15.0,7.4,0.5,0.46
208,Yaser Asprilla,COL,"FW,MF",Girona,es  La Liga,21-112,2003.0,17,873.0,51.0,35.9,9.7,9,76.0,3,8,24.0,2,1.18,14.0,14.0,0.0,0.0,0.29,13.7,12.8,0.9,0.09,0.31
209,Lorenz Assignon,TOG,"DF,MF",Rennes,fr  Ligue 1,24-262,2000.0,23,1641.0,71.0,72.9,18.2,19,82.0,11,4,23.0,0,1.22,26.0,24.0,2.0,0.11,0.55,24.3,24.2,0.0,0.0,0.03
210,Dehmaine Assoumani,FRA,"MF,FW",Nantes,fr  Ligue 1,19-328,2005.0,9,81.0,9.0,3.6,0.9,0,,0,9,9.0,9,0.78,1.0,2.0,-1.0,-1.11,-0.53,1.7,1.2,0.5,0.57,1.01
211,Ander Astralaga,ESP,GK,Barcelona,es  La Liga,21-008,2004.0,0,,,,,0,,0,0,,16,,,,,,,,,,,
212,Valentin Atangana Edoa,FRA,MF,Reims,fr  Ligue 1,19-198,2005.0,25,2047.0,82.0,91.0,22.7,24,83.0,12,1,45.0,0,0.88,24.0,37.0,-13.0,-0.57,-0.13,25.9,39.8,-13.9,-0.61,0.56
213,Arthur Atta,FRA,"MF,FW",Udinese,it  Serie A,22-056,2003.0,18,517.0,29.0,20.5,5.7,3,67.0,0,15,21.0,3,1.5,5.0,7.0,-2.0,-0.35,-0.3,5.1,9.1,-4.0,-0.69,-0.48
214,Noah Atubolu,GER,GK,Freiburg,de  Bundesliga,22-290,2002.0,22,1980.0,90.0,88.0,22.0,22,90.0,22,0,,1,1.73,31.0,29.0,2.0,0.09,1.42,27.0,27.2,-0.2,-0.01,0.14
215,Emil Audero,ITA,GK,Como,it  Serie A,28-052,1997.0,8,720.0,90.0,28.6,8.0,8,90.0,8,0,,15,1.0,11.0,18.0,-7.0,-0.87,-0.73,9.7,11.3,-1.6,-0.2,-0.35
216,Tommaso Augello,ITA,"DF,FW",Cagliari,it  Serie A,30-193,1994.0,28,1907.0,68.0,75.7,21.2,21,82.0,14,7,26.0,0,0.93,19.0,34.0,-15.0,-0.71,-0.71,23.3,33.3,-10.0,-0.47,-0.32
217,Carlos Augusto,BRA,"DF,FW",Inter,it  Serie A,26-063,1999.0,19,948.0,50.0,37.6,10.5,7,88.0,6,12,28.0,3,2.11,25.0,9.0,16.0,1.52,0.37,21.4,7.7,13.7,1.3,0.57
218,Yann Aurel Bisseck,GER,DF,Inter,it  Serie A,24-102,2000.0,17,1069.0,63.0,42.4,11.9,11,80.0,7,6,31.0,8,2.35,30.0,12.0,18.0,1.52,0.4,22.1,10.1,12.0,1.01,0.12
219,Henrijs Auseklis,LVA,GK,Cagliari,it  Serie A,18-082,2006.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
220,Brandon Austin,ENG,GK,Tottenham,eng  Premier League,26-062,1999.0,1,90.0,90.0,3.6,1.0,1,90.0,1,0,,12,0.0,1.0,2.0,-1.0,-1.0,-1.56,0.9,2.5,-1.6,-1.57,-1.58
221,Ezequiel Ávila,ARG,FW,Betis,es  La Liga,31-033,1994.0,18,632.0,35.0,26.0,7.0,6,62.0,1,12,22.0,3,1.67,9.0,7.0,2.0,0.28,0.28,11.4,9.4,2.0,0.28,0.03
222,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,eng  Premier League,27-211,1997.0,21,267.0,13.0,10.6,3.0,2,54.0,0,19,8.0,6,1.9,3.0,6.0,-3.0,-1.01,-1.61,4.2,4.4,-0.1,-0.04,-0.1
223,Yasin Ayari,SWE,MF,Brighton,eng  Premier League,21-156,2003.0,24,1427.0,59.0,56.6,15.9,16,77.0,5,8,25.0,2,1.75,21.0,16.0,5.0,0.32,0.23,21.0,19.7,1.4,0.09,0.01
224,Florian Ayé,FRA,FW,Auxerre,fr  Ligue 1,28-051,1997.0,17,403.0,24.0,17.9,4.5,4,65.0,0,13,11.0,8,0.88,6.0,6.0,0.0,0.0,0.1,5.7,8.3,-2.6,-0.58,-0.18
225,André Ayew,GHA,FW,Le Havre,fr  Ligue 1,35-084,1989.0,18,997.0,55.0,44.3,11.1,10,81.0,5,8,23.0,0,0.83,9.0,24.0,-15.0,-1.35,-0.49,9.8,22.5,-12.7,-1.14,-0.87
226,Jordan Ayew,GHA,"FW,MF",Crystal Palace,eng  Premier League,33-181,1991.0,1,21.0,21.0,0.8,0.2,0,,0,1,21.0,0,0.0,0.0,1.0,-1.0,-4.29,-4.43,0.7,1.0,-0.2,-0.99,-1.31
227,Jordan Ayew,GHA,"FW,MF",Leicester City,eng  Premier League,33-181,1991.0,23,1298.0,56.0,51.5,14.4,15,79.0,3,8,15.0,3,0.7,13.0,35.0,-22.0,-1.53,-0.42,12.5,23.3,-10.8,-0.75,0.51
228,Neil El Aynaoui,FRA,MF,Lens,fr  Ligue 1,23-252,2001.0,16,907.0,57.0,40.3,10.1,9,83.0,6,7,23.0,1,1.25,14.0,16.0,-2.0,-0.2,-0.4,15.5,16.0,-0.5,-0.05,-0.41
229,Ayman Azhil,MAR,MF,Dortmund,de  Bundesliga,23-335,2001.0,1,24.0,24.0,1.1,0.3,0,,0,1,24.0,7,3.0,0.0,0.0,0.0,0.0,-0.24,0.5,0.3,0.1,0.53,0.11
230,Adam Aznou,MAR,"DF,MF",Valladolid,es  La Liga,18-282,2006.0,4,238.0,60.0,9.8,2.6,3,68.0,1,1,33.0,1,0.25,2.0,6.0,-4.0,-1.51,0.13,3.0,3.6,-0.6,-0.23,0.76
231,Adam Aznou,MAR,DF,Bayern Munich,de  Bundesliga,18-282,2006.0,2,17.0,9.0,0.8,0.2,0,,0,2,9.0,11,3.0,0.0,2.0,-2.0,-10.59,-12.72,0.8,0.8,0.0,0.08,-1.72
232,César Azpilicueta,ESP,DF,Atlético Madrid,es  La Liga,35-195,1989.0,8,570.0,71.0,23.5,6.3,7,75.0,4,1,45.0,12,2.0,12.0,4.0,8.0,1.26,0.39,11.5,5.7,5.7,0.91,0.28
233,Paulo Azzi,BRA,DF,Cagliari,it  Serie A,30-239,1994.0,6,426.0,71.0,16.9,4.7,5,79.0,3,1,31.0,15,0.33,1.0,5.0,-4.0,-0.85,-0.37,5.8,5.9,-0.1,-0.02,0.45
234,Oussama El Azzouzi,MAR,MF,Bologna,it  Serie A,23-286,2001.0,1,8.0,8.0,0.3,0.1,0,,0,1,8.0,7,3.0,0.0,0.0,0.0,0.0,-0.36,0.0,0.2,-0.1,-1.55,-1.94
