,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
94,Kerim Alajbegović,BIH,FW,Leverkusen,de  Bundesliga,17-171,2007.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
95,Andreas Albers,DEN,FW,St. Pauli,de  Bundesliga,34-353,1990.0,14,62.0,4.0,2.8,0.7,0,,0,14,4.0,4,0.86,1.0,2.0,-1.0,-1.45,-1.04,1.0,2.1,-1.1,-1.61,-1.35
96,Raúl Albiol,ESP,DF,Villarreal,es  La Liga,39-188,1985.0,15,1188.0,79.0,48.9,13.2,14,84.0,12,1,6.0,12,1.73,26.0,20.0,6.0,0.45,0.02,22.3,13.8,8.5,0.64,0.02
97,Carlos Alcaraz,ARG,MF,Southampton,eng  Premier League,22-101,2002.0,1,10.0,10.0,0.4,0.1,0,,0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,1.72,0.3,0.0,0.3,2.92,4.42
98,Carlos Alcaraz,ARG,"MF,FW",Everton,eng  Premier League,22-101,2002.0,5,227.0,45.0,9.0,2.5,2,88.0,1,3,17.0,0,1.4,4.0,2.0,2.0,0.79,1.03,3.1,3.4,-0.3,-0.1,0.05
99,Alcázar,ESP,DF,Betis,es  La Liga,22-243,2002.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
100,Omar Alderete,PAR,DF,Getafe,es  La Liga,28-075,1996.0,24,2136.0,89.0,87.9,23.7,24,89.0,21,0,,0,1.33,23.0,20.0,3.0,0.13,0.74,22.8,28.6,-5.7,-0.24,0.14
101,Pedro Alemañ,ESP,MF,Valencia,es  La Liga,22-355,2002.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
102,Carles Aleñá,ESP,"MF,FW",Getafe,es  La Liga,27-065,1998.0,10,452.0,45.0,18.6,5.0,5,67.0,0,5,23.0,7,0.8,2.0,4.0,-2.0,-0.4,-0.53,4.0,7.7,-3.7,-0.74,-0.59
103,Carles Aleñá,ESP,"MF,FW",Alavés,es  La Liga,27-065,1998.0,4,356.0,89.0,14.7,4.0,4,89.0,3,0,,0,1.25,5.0,4.0,1.0,0.25,0.73,6.1,6.1,0.0,0.0,0.14
104,Ben Alexander Voll,GER,GK,St. Pauli,de  Bundesliga,24-092,2000.0,0,,,,,0,,0,0,,16,,,,,,,,,,,
105,Trent Alexander-Arnold,ENG,DF,Liverpool,eng  Premier League,26-155,1998.0,28,2145.0,77.0,82.2,23.8,26,80.0,12,2,27.0,0,2.39,60.0,21.0,39.0,1.64,1.06,53.9,18.0,35.9,1.51,0.75
106,Christos Alexiou,GRE,DF,Inter,it  Serie A,19-254,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
107,Alfon,ESP,"FW,MF",Celta Vigo,es  La Liga,25-311,1999.0,16,683.0,43.0,28.1,7.6,6,69.0,1,10,27.0,8,0.94,14.0,15.0,-1.0,-0.13,-0.13,12.5,9.9,2.7,0.35,0.08
108,Mohamed Ali Cho,FRA,"FW,MF",Nice,fr  Ligue 1,21-051,2004.0,21,1425.0,68.0,63.3,15.8,19,73.0,0,2,19.0,0,1.9,32.0,18.0,14.0,0.88,0.34,27.4,16.2,11.1,0.7,0.2
109,Mohamed Ali Diadie,FRA,FW,Reims,fr  Ligue 1,20-140,2004.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
110,Faride Alidou,GER,"FW,MF",Hellas Verona,it  Serie A,23-236,2001.0,3,71.0,24.0,2.8,0.8,0,,0,3,24.0,10,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.5,-0.1,-0.07,0.53
111,Alisson,BRA,GK,Liverpool,eng  Premier League,32-160,1992.0,21,1878.0,89.0,72.0,20.9,21,89.0,20,0,,0,2.38,50.0,18.0,32.0,1.53,0.3,48.0,15.6,32.4,1.55,0.65
