,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1731,Dany Mota,POR,"MF,FW",Monza,it  Serie A,26-313,1998.0,16.2,2,0,0,16,21,3,33,8,2,0,0,0,50,40,49,44.9
1732,Yael Mouanga,FRA,DF,Montpellier,fr  Ligue 1,19-231,2005.0,5.5,1,0,0,3,3,0,2,4,3,0,0,0,20,10,9,52.6
1733,Aimen Moueffek,FRA,MF,Saint-Étienne,fr  Ligue 1,23-336,2001.0,6.9,1,0,0,14,3,2,0,3,9,0,0,0,36,7,12,36.8
1734,Youssoufa Moukoko,GER,"FW,MF",Nice,fr  Ligue 1,20-111,2004.0,2.3,0,0,0,1,4,5,1,0,2,0,0,0,14,2,0,100.0
1735,Steve Mounié,BEN,"FW,MF",Augsburg,de  Bundesliga,30-163,1994.0,3.3,2,0,0,9,5,1,3,0,3,0,0,0,7,18,20,47.4
1736,Mason Mount,ENG,"MF,FW",Manchester Utd,eng  Premier League,26-060,1999.0,2.7,2,0,0,8,4,0,6,0,2,0,0,0,6,1,5,16.7
1737,Santiago Mouriño,URU,DF,Alavés,es  La Liga,23-026,2002.0,11.5,3,0,0,20,14,1,3,19,15,0,0,0,50,19,18,51.4
1738,Louis Mouton,FRA,MF,Saint-Étienne,fr  Ligue 1,22-281,2002.0,10.5,2,0,0,20,6,2,13,10,19,0,0,0,55,5,9,35.7
1739,Divin Mubama,ENG,FW,Manchester City,eng  Premier League,20-137,2004.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
1740,Mykhailo Mudryk,UKR,FW,Chelsea,eng  Premier League,24-065,2001.0,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3
1741,Ngal'Ayel Mukau,COD,MF,Lille,fr  Ligue 1,20-101,2004.0,10.6,4,0,0,16,11,0,3,13,15,0,0,0,51,13,13,50.0
1742,Nordi Mukiele,FRA,DF,Leverkusen,de  Bundesliga,27-130,1997.0,8.0,4,0,0,5,8,1,10,9,14,0,0,1,38,8,10,44.4
1743,Florian Müller,GER,GK,Freiburg,de  Bundesliga,27-118,1997.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
1744,Kevin Müller,GER,GK,Heidenheim,de  Bundesliga,33-361,1991.0,25.0,0,0,0,0,1,0,0,0,2,0,0,0,36,6,0,100.0
1745,Marius Müller,GER,GK,Wolfsburg,de  Bundesliga,31-242,1993.0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,100.0
1746,Thomas Müller,GER,"MF,FW",Bayern Munich,de  Bundesliga,35-179,1989.0,9.6,3,0,0,8,9,3,38,0,2,0,0,0,15,11,20,35.5
1747,Abdul Mumin,GHA,DF,Rayo Vallecano,es  La Liga,26-278,1998.0,22.4,6,1,0,22,12,0,6,23,25,0,0,0,93,31,25,55.4
1748,Marshall Munetsi,ZIM,"FW,MF",Wolves,eng  Premier League,28-262,1996.0,3.0,0,0,0,4,5,2,0,2,4,0,0,0,11,9,6,60.0
1749,Marshall Munetsi,ZIM,MF,Reims,fr  Ligue 1,28-262,1996.0,18.8,5,0,0,28,31,2,11,17,18,0,0,0,72,41,48,46.1
1750,Rodrigo Muniz,BRA,FW,Fulham,eng  Premier League,23-311,2001.0,8.8,1,0,0,11,24,2,1,4,4,0,0,0,11,54,57,48.6
1751,Aihen Muñoz,ESP,DF,Real Sociedad,es  La Liga,27-207,1997.0,6.6,4,0,0,9,7,0,14,11,8,0,1,0,29,14,13,51.9
1752,Álex Muñoz,ESP,DF,Las Palmas,es  La Liga,30-224,1994.0,13.9,2,0,0,26,8,2,23,16,29,0,1,0,29,19,20,48.7
1753,Daniel Muñoz,COL,DF,Crystal Palace,eng  Premier League,28-289,1996.0,26.0,7,0,0,40,15,10,50,31,61,0,0,0,131,48,60,44.4
1754,Iker Muñoz,ESP,MF,Osasuna,es  La Liga,22-126,2002.0,4.2,2,0,0,9,7,0,3,3,2,0,0,0,19,8,10,44.4
