,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
389,Tajon Buchanan,CAN,"DF,FW",Inter,it  Serie A,26-031,1999.0,1.1,3,2.84,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0
390,Tajon Buchanan,CAN,"MF,FW",Villarreal,es  La Liga,26-031,1999.0,0.6,2,3.4,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
391,Ante Budimir,CRO,FW,Osasuna,es  La Liga,33-232,1991.0,22.1,34,1.54,18,0,3,6,7,0,10,0.45,1,0,1,2,6,0
392,Emi Buendía,ARG,"MF,FW",Aston Villa,eng  Premier League,28-076,1996.0,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
393,Emi Buendía,ARG,"MF,FW",Leverkusen,de  Bundesliga,28-076,1996.0,1.3,8,6.21,4,0,1,2,1,0,1,0.78,0,0,0,1,0,0
394,Manu Bueno,ESP,MF,Sevilla,es  La Liga,20-227,2004.0,1.2,1,0.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
395,Santiago Bueno,URU,DF,Wolves,eng  Premier League,26-122,1998.0,16.8,11,0.65,9,1,0,0,0,1,4,0.24,3,0,0,0,0,1
396,Endika Buján,ESP,FW,Athletic Club,es  La Liga,22-054,2003.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
397,Marius Bülter,GER,"FW,DF",Hoffenheim,de  Bundesliga,31-347,1993.0,12.3,36,2.94,25,0,3,2,5,1,5,0.41,2,0,2,0,1,0
398,Facundo Buonanotte,ARG,"FW,MF",Leicester City,eng  Premier League,20-078,2004.0,14.4,45,3.12,24,10,8,1,2,0,4,0.28,1,2,1,0,0,0
399,Alessandro Buongiorno,ITA,DF,Napoli,it  Serie A,25-278,1999.0,18.7,16,0.86,15,0,0,1,0,0,0,0.0,0,0,0,0,0,0
