,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
171,Ezequiel Ávila,ARG,FW,Betis,es  La Liga,31-033,1994.0,7.0,224,204,18,3,0,2,26,9,0,0,0,0,158,2,7
172,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,eng  Premier League,27-211,1997.0,3.0,66,66,0,0,1,0,1,0,0,0,0,0,43,0,3
173,Yasin Ayari,SWE,MF,Brighton,eng  Premier League,21-156,2003.0,15.9,696,622,73,26,8,1,54,2,28,21,4,1,558,1,9
174,Florian Ayé,FRA,FW,Auxerre,fr  Ligue 1,28-051,1997.0,4.5,103,98,5,0,0,1,2,0,0,0,0,0,77,0,3
175,André Ayew,GHA,FW,Le Havre,fr  Ligue 1,35-084,1989.0,11.1,174,142,32,1,0,0,5,3,0,0,0,0,134,0,8
176,Jordan Ayew,GHA,"FW,MF",Crystal Palace,eng  Premier League,33-181,1991.0,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
177,Jordan Ayew,GHA,"FW,MF",Leicester City,eng  Premier League,33-181,1991.0,14.4,422,386,36,10,3,2,45,5,19,10,5,2,303,0,10
178,Neil El Aynaoui,FRA,MF,Lens,fr  Ligue 1,23-252,2001.0,10.1,556,518,36,8,1,2,28,1,24,7,15,0,477,2,10
179,Ayman Azhil,MAR,MF,Dortmund,de  Bundesliga,23-335,2001.0,0.3,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
180,Adam Aznou,MAR,"DF,MF",Valladolid,es  La Liga,18-282,2006.0,2.6,104,83,21,3,0,0,6,16,2,2,0,0,73,0,3
181,Adam Aznou,MAR,DF,Bayern Munich,de  Bundesliga,18-282,2006.0,0.2,17,14,2,0,0,0,1,2,0,0,0,0,13,1,0
182,César Azpilicueta,ESP,DF,Atlético Madrid,es  La Liga,35-195,1989.0,6.3,451,397,54,5,1,3,3,49,0,0,0,0,394,0,2
